('The Jazz Parlour','Washington','Grapefruit and egg ciabatta',
('Bounty','Fayetteville','Anise and crab korma',
('Carnival','Glendale','Squirrel and thai basil salad',
('The Boiling Dairy','Savannah','Lamb and shrimp soup',
('Steam','Fayetteville','Banana and thyme pancake',
('Bambino','Oklahoma City','Chicken and squash skewers',
('The Sweet Pig','Nashville','Blueberry and pear pancake',
('Splash','Anchorage','Okra and anise stir fry',
('Streetwise','Montgomery','Plumcot and pollack salad',
('The Glass Grill','Hartland','Aubergine and spinach dumplings',
('Recess','Moore','Bacon and pepper spaghetti',
('Harlequin','Fountain','Squash and karengo soup',
('Drifters','Oakhurst','Tomato and bean soup',
('The Sailing Garden','Conway','Mortadella and hp sauce salad',
('Gastrognome','Saint Johnsbury','Udon and juniper berry salad',
('Roadhouse','Glendale','Peppercorn and pumpkin soup',
('The Northern View','Yarmouth','Stilton and cider vinegar salad',
('Starlight','Fayetteville','Black pepper and fish ciabatta',
('The Vineyard','Berkeley','Garam masala and fish gyoza',
('The Fresh Club','Norman','Tofu and black pepper toastie',
('Bones','Arvada','Bacon and olive penne',
('The Big Fish','Fayetteville','Cocoa and milk pudding',
('The Pearl','Anchorage','Pork and tumeric vindaloo',
('The Electric Badger','Panama City','Tongue and wheat bran salad',
('Carnival','Louisville','Peach and sultana cookies',
('The Light Window','Oklahoma City','Prune and pumpkin buns',
('Fiddler','Panama City','Pumpkin and pepper curry',
('The Pearl Bay','Anchorage','Rosemary and squash buns',
('The Sumo Moment','Fayetteville','Borscht and feta soup',
('Nova','Montgomery','Leek and sausage pasta',
